vacancy_id,name,company_id,salary_from,salary_to,salary_currency,url
125109026,Администратор-кассир букмекерской конторы,866666,70000,,RUR,https://hh.ru/vacancy/125109026
124106449,Сотрудник охраны,866666,80000,,RUR,https://hh.ru/vacancy/124106449
122984895,Юрисконсульт,866666,100000,,RUR,https://hh.ru/vacancy/122984895
124447696,Кассир,866666,95000,,RUR,https://hh.ru/vacancy/124447696
123116914,Администратор-кассир букмекерской конторы,866666,70000,,RUR,https://hh.ru/vacancy/123116914
123605063,Кассир,866666,100000,110000,RUR,https://hh.ru/vacancy/123605063
120245974,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/120245974
123475416,Администратор,866666,65000,75000,RUR,https://hh.ru/vacancy/123475416
124106565,Кассир,866666,50000,,RUR,https://hh.ru/vacancy/124106565
124823356,Администратор,866666,60000,75000,RUR,https://hh.ru/vacancy/124823356
125010425,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/125010425
124547719,Кассир,866666,110000,,RUR,https://hh.ru/vacancy/124547719
124179754,Кассир,866666,40000,,RUR,https://hh.ru/vacancy/124179754
117305036,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/117305036
122945141,Кассир,866666,80000,100000,RUR,https://hh.ru/vacancy/122945141
125064691,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/125064691
124926178,Оператор-кассир,866666,90000,110000,RUR,https://hh.ru/vacancy/124926178
124066868,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/124066868
124340587,Оператор-кассир,866666,40000,,RUR,https://hh.ru/vacancy/124340587
124701852,Старший кассир,866666,80000,120000,RUR,https://hh.ru/vacancy/124701852
122016697,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/122016697
124266142,Администратор-кассир,866666,,,,https://hh.ru/vacancy/124266142
124343003,Кассир-администратор букмекерской компании,866666,110000,,RUR,https://hh.ru/vacancy/124343003
124287315,Оператор-кассир,866666,100000,,RUR,https://hh.ru/vacancy/124287315
124490375,Кассир,866666,,,,https://hh.ru/vacancy/124490375
124621402,Кассир-оператор,866666,,,,https://hh.ru/vacancy/124621402
124621750,Охранник букмекерского клуба,866666,,,,https://hh.ru/vacancy/124621750
124758744,Сотрудник охраны,866666,4000,,RUR,https://hh.ru/vacancy/124758744
124923909,Оператор-кассир,866666,110000,,RUR,https://hh.ru/vacancy/124923909
124447511,Кассир,866666,90000,100000,RUR,https://hh.ru/vacancy/124447511
124576254,Руководитель PR-отдела,866666,,,,https://hh.ru/vacancy/124576254
124118037,Администратор-кассир букмекерского клуба,866666,40000,,RUR,https://hh.ru/vacancy/124118037
124494248,Кассир,866666,45000,65000,RUR,https://hh.ru/vacancy/124494248
124755447,Администратор,866666,,,,https://hh.ru/vacancy/124755447
122769489,Администратор - кассир,866666,55000,75000,RUR,https://hh.ru/vacancy/122769489
124161518,Специалист службы безопасности/Охранник,866666,70000,105000,RUR,https://hh.ru/vacancy/124161518
121665295,Администратор-кассир,866666,,,,https://hh.ru/vacancy/121665295
118567776,Администратор-кассир букмекерской конторы,866666,70000,,RUR,https://hh.ru/vacancy/118567776
123455435,Администратор,866666,55000,,RUR,https://hh.ru/vacancy/123455435
124768187,Администратор-кассир,866666,,,,https://hh.ru/vacancy/124768187
124178850,Администратор-кассир,866666,,,,https://hh.ru/vacancy/124178850
124822714,Старший кассир,866666,,,,https://hh.ru/vacancy/124822714
121374801,Администратор-кассир букмекерского клуба,866666,70000,,RUR,https://hh.ru/vacancy/121374801
124227409,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/124227409
125014962,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/125014962
121483870,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/121483870
123607844,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/123607844
117950881,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/117950881
123837986,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/123837986
121467667,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/121467667
124366955,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/124366955
123609025,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/123609025
119629111,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/119629111
124496811,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/124496811
124507209,Администратор-кассир букмекерского клуба,866666,70000,,RUR,https://hh.ru/vacancy/124507209
120240587,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/120240587
124191155,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/124191155
123608905,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/123608905
